Employee ID,Employee Name,Gender,Age,Date of Birth,Education,Department,Job Title,Employment Type,Location,Join Date,Years of Experience,Manager ID,Annual Salary INR,Bonus Percent,Bonus Amount INR,Performance Rating,Employment Status,Attrition,Leaves Taken,Leaves Available,Training Hours,Job Satisfaction Score,Overtime
EMP10025,Rupal Nair,Female,30,1994-10-26,M.Tech,Sales,Regional Sales Head,Full-Time,Hyderabad,2019-12-17,4,EMP10073,1372000,14.5,198940,Below Average,Resigned,Yes,16,14,84,10,No
EMP10026,Deepak Mehta,Male,43,1981-08-11,BCA,R&D,Data Scientist,Full-Time,Kolkata,2015-04-11,2,EMP10162,963000,24.7,237861,Average,Resigned,Yes,18,12,24,7,No
EMP10027,Kavya Agarwal,Female,42,1982-11-21,MBA,Engineering,Senior Software Engineer,Contract,Kolkata,2024-01-07,17,EMP10119,1374000,6.0,82440,Good,Resigned,Yes,21,9,67,9,No
EMP10028,Pallavi Agarwal,Female,30,1995-01-01,MCA,Customer Support,Support Director,Full-Time,Jaipur,2016-10-13,8,EMP10161,692000,10.2,70584,Good,Active,No,7,23,35,8,Yes
EMP10029,Harsh Sharma,Male,43,1981-10-07,B.Sc,Sales,Senior Sales Executive,Full-Time,Pune,2017-08-05,13,EMP10120,1755000,8.1,142155,Good,Active,No,13,17,7,4,No
EMP10030,Priya Rao,Female,28,1996-05-24,B.Sc,IT,IT Manager,Full-Time,Ahmedabad,2015-01-25,3,EMP10192,946000,20.1,190146,Below Average,On Leave,No,23,7,69,10,Yes
EMP10031,Ankit Nair,Male,42,1982-05-28,M.Sc,Sales,Regional Sales Head,Part-Time,Noida,2024-06-04,15,EMP10170,568000,24.6,139728,Average,Terminated,Yes,0,30,10,7,Yes
EMP10032,Manish Gupta,Male,35,1989-08-30,MCA,Sales,Regional Sales Head,Full-Time,Bangalore,2018-10-14,13,EMP10005,1095000,10.6,116070,Poor,Active,No,23,7,69,1,No
EMP10033,Sneha Shah,Female,41,1983-12-11,BBA,Engineering,Senior Software Engineer,Full-Time,Noida,2024-05-30,1,EMP10120,1703000,8.0,136240,Excellent,Active,No,22,8,32,6,Yes
EMP10034,Pooja Iyer,Female,24,2000-12-16,M.Tech,R&D,Research Analyst,Full-Time,Delhi,2015-04-16,2,EMP10152,1658000,18.5,306730,Poor,Active,No,22,8,106,4,Yes
EMP10035,Kavya Rao,Female,34,1990-07-29,MCA,Sales,Sales Executive,Full-Time,Ahmedabad,2020-12-22,7,EMP10028,1687000,12.4,209188,Average,Active,No,13,17,46,8,Yes
EMP10036,Divya Desai,Female,28,1996-09-08,MCA,IT,Cybersecurity Analyst,Full-Time,Chennai,2020-03-19,4,EMP10063,883000,11.4,100662,Good,On Leave,No,24,6,59,10,No
EMP10037,Mohit Gupta,Male,38,1986-08-03,BCA,Marketing,Marketing Manager,Full-Time,Delhi,2018-10-26,9,EMP10126,879000,16.1,141519,Average,Active,No,17,13,97,4,No
EMP10038,Anjali Iyer,Female,31,1993-02-20,BCA,Marketing,Digital Marketing Specialist,Full-Time,Pune,2022-10-04,4,EMP10191,942000,18.3,172386,Good,Active,No,17,13,42,6,No
EMP10039,Suresh Nair,Male,25,1999-01-14,B.Sc,Sales,Sales Executive,Full-Time,Noida,2023-07-19,3,EMP10153,688000,8.8,60544,Average,Active,No,9,21,12,4,No
EMP10040,Harsh Singh,Male,47,1977-01-15,M.Tech,Engineering,Lead Engineer,Full-Time,Kolkata,2015-08-12,18,EMP10004,1013000,18.9,191457,Excellent,Resigned,Yes,18,12,36,8,No
EMP10041,Mohit Verma,Male,32,1992-12-22,B.Com,Sales,Sales Executive,Full-Time,Noida,2020-07-07,2,EMP10022,1510000,17.6,265760,Excellent,Active,No,7,23,15,9,No
EMP10042,Aakash Das,Male,30,1994-11-10,BBA,IT,IT Manager,Full-Time,Bangalore,2018-05-02,7,EMP10161,960000,16.4,157440,Excellent,On Leave,No,6,24,33,2,Yes
EMP10043,Sanjay Bose,Male,28,1996-01-30,BBA,Marketing,Content Writer,Full-Time,Bangalore,2018-04-07,1,EMP10068,785000,10.8,84780,Good,Resigned,Yes,25,5,101,10,Yes
EMP10044,Divya Singh,Female,47,1977-09-04,B.Com,Marketing,Marketing Executive,Full-Time,Ahmedabad,2016-11-10,10,EMP10129,905000,13.8,124890,Good,Active,No,17,13,63,8,Yes
EMP10045,Rupal Joshi,Female,45,1979-02-05,M.Sc,Customer Support,Support Analyst,Full-Time,Chennai,2017-07-26,19,EMP10011,836000,24.0,200640,Poor,Active,No,24,6,96,3,No
EMP10046,Pranav Agarwal,Male,45,1979-02-03,BCA,Finance,Accountant,Full-Time,Pune,2020-04-09,12,EMP10178,1206000,11.7,141102,Average,Resigned,Yes,15,15,36,7,Yes
EMP10047,Ankit Chopra,Male,25,1999-05-04,B.Tech,Sales,Sales Executive,Full-Time,Kolkata,2020-03-07,2,EMP10053,414000,8.8,36432,Good,Resigned,Yes,8,22,70,3,No
EMP10048,Tushar Mehta,Male,36,1988-12-09,MCA,Operations,Operations Manager,Contract,Bangalore,2021-03-06,1,EMP10031,859000,13.2,113388,Good,Resigned,Yes,20,10,106,3,No
EMP10049,Aisha Mishra,Female,39,1985-12-07,M.Tech,Sales,Regional Sales Head,Contract,Hyderabad,2020-02-14,5,EMP10071,1104000,8.8,97152,Average,Active,No,24,6,101,7,No
EMP10050,Meera Iyer,Female,28,1996-12-18,M.Com,Marketing,Content Writer,Full-Time,Kolkata,2016-08-31,4,EMP10049,1316000,11.9,156604,Average,Active,No,22,8,30,10,No
EMP10051,Mohit Das,Male,43,1981-10-28,M.Tech,IT,IT Manager,Full-Time,Kolkata,2020-07-21,2,EMP10135,585000,15.0,87750,Average,Resigned,Yes,29,1,58,1,Yes
EMP10052,Mohit Joshi,Male,32,1992-10-30,MCA,Operations,Supply Chain Analyst,Full-Time,Pune,2022-04-15,2,EMP10139,1173000,11.6,136068,Average,Active,No,1,29,79,2,Yes
EMP10053,Anjali Agarwal,Non-Binary,45,1979-07-05,M.Com,Customer Support,Support Analyst,Full-Time,Chennai,2019-12-23,6,EMP10096,534000,23.1,123354,Excellent,Resigned,Yes,13,17,18,4,No
EMP10054,Rohit Desai,Male,39,1985-10-20,MCA,IT,IT Manager,Full-Time,Mumbai,2020-07-31,5,EMP10074,807000,14.2,114594,Good,Active,No,21,9,69,3,Yes
EMP10055,Aisha Joshi,Female,36,1988-07-20,B.Com,HR,HR Business Partner,Full-Time,Noida,2017-03-26,7,EMP10180,1175000,14.7,172725,Good,Active,No,9,21,2,7,No
EMP10056,Sneha Desai,Female,37,1987-11-03,B.Com,Customer Support,Customer Success Manager,Contract,Noida,2023-09-13,13,EMP10174,461000,17.1,78831,Good,Active,No,24,6,92,3,Yes
EMP10057,Vikas Patel,Male,33,1991-05-14,MBA,Operations,Operations Director,Part-Time,Delhi,2023-03-19,3,EMP10139,375000,23.2,87000,Good,Active,No,28,2,46,9,No
EMP10058,Shruti Iyer,Female,44,1980-03-01,B.Sc,Sales,Sales Manager,Full-Time,Ahmedabad,2020-04-02,3,EMP10094,595000,20.1,119595,Good,Active,No,2,28,101,7,Yes
EMP10059,Arjun Rao,Male,33,1991-08-31,M.Sc,Engineering,Engineering Manager,Full-Time,Pune,2016-03-19,11,EMP10057,890000,14.4,128160,Average,On Leave,No,20,10,8,8,No
EMP10060,Vivek Iyer,Male,44,1980-03-17,BCA,Engineering,Engineering Manager,Full-Time,Jaipur,2016-02-03,8,EMP10151,1527000,7.7,117579,Good,Active,No,23,7,93,3,No
EMP10061,Divya Patel,Female,40,1984-09-29,M.Com,Legal,Compliance Officer,Contract,Jaipur,2019-12-22,15,EMP10016,895000,22.1,197795,Excellent,Active,No,12,18,35,4,Yes
EMP10062,Suresh Desai,Male,47,1977-04-08,BBA,Legal,Legal Counsel,Full-Time,Jaipur,2023-10-28,11,EMP10151,911000,24.8,225928,Average,Active,No,6,24,104,4,No
EMP10063,Divya Singh,Female,25,1999-03-26,M.Sc,IT,Systems Administrator,Full-Time,Delhi,2017-10-23,1,EMP10083,551000,18.2,100282,Excellent,Active,No,0,30,22,5,Yes
EMP10064,Rohit Mishra,Male,33,1991-03-29,B.Com,Finance,Accountant,Part-Time,Jaipur,2020-10-03,10,EMP10118,579000,14.0,81060,Good,Active,No,20,10,3,1,No
EMP10065,Vikas Sharma,Male,35,1989-06-13,BCA,Finance,Financial Analyst,Full-Time,Pune,2021-10-27,3,EMP10153,488000,7.5,36600,Average,Active,No,16,14,37,8,No
EMP10066,Shalini Gupta,Female,29,1995-04-04,BCA,Operations,Logistics Coordinator,Full-Time,Pune,2017-07-24,4,EMP10081,635000,21.5,136525,Good,Active,No,21,9,32,6,Yes
EMP10067,Rohit Sharma,Male,45,1979-05-02,M.Tech,Finance,Accountant,Contract,Pune,2023-05-08,12,EMP10106,623000,16.1,100303,Average,Active,No,11,19,111,7,Yes
EMP10068,Pranav Chopra,Male,43,1981-12-10,B.Com,Operations,Operations Manager,Full-Time,Bangalore,2022-05-13,16,EMP10147,515000,21.9,112785,Good,Active,No,7,23,103,7,Yes
EMP10069,Priya Kumar,Female,36,1988-11-10,MBA,Operations,Supply Chain Analyst,Full-Time,Bangalore,2018-10-23,6,EMP10190,286000,8.6,24596,Excellent,Active,No,20,10,3,2,Yes
EMP10070,Deepak Nair,Male,46,1978-10-23,BCA,Finance,CFO,Full-Time,Kolkata,2015-08-04,5,EMP10125,680000,20.1,136680,Excellent,Active,No,19,11,56,7,No
EMP10071,Karan Iyer,Male,28,1996-10-29,BBA,Marketing,Content Writer,Full-Time,Mumbai,2020-11-28,6,EMP10078,947000,5.9,55873,Good,Active,No,30,0,27,3,No
EMP10072,Sanjay Kumar,Male,32,1992-01-21,B.Tech,Engineering,Senior Software Engineer,Full-Time,Ahmedabad,2020-12-21,4,EMP10112,1449000,16.2,234738,Average,Active,No,0,30,58,2,No
EMP10073,Aisha Iyer,Female,31,1993-03-03,M.Tech,Marketing,Marketing Executive,Full-Time,Pune,2015-03-27,6,EMP10112,660000,21.0,138600,Average,Resigned,Yes,27,3,13,4,No
EMP10074,Deepak Nair,Male,35,1989-12-09,M.Com,Marketing,Digital Marketing Specialist,Full-Time,Pune,2023-09-27,3,EMP10187,460000,15.2,69920,Excellent,Active,No,30,0,104,3,Yes
EMP10075,Amit Sharma,Male,27,1997-03-01,M.Com,Sales,Senior Sales Executive,Full-Time,Noida,2020-03-15,5,EMP10161,1515000,14.0,212100,Below Average,Active,No,10,20,19,8,Yes
EMP10076,Komal Patel,Female,27,1997-10-04,M.Tech,Operations,Supply Chain Analyst,Full-Time,Bangalore,2015-10-31,3,EMP10158,764000,14.0,106960,Excellent,Resigned,Yes,19,11,64,7,No
EMP10077,Sneha Bose,Female,41,1983-06-12,M.Tech,R&D,Principal Researcher,Full-Time,Pune,2018-08-09,16,EMP10130,1501000,8.0,120080,Excellent,Active,No,20,10,22,1,Yes
EMP10078,Tushar Kumar,Male,33,1991-09-22,M.Tech,R&D,R&D Engineer,Full-Time,Pune,2018-03-04,7,EMP10085,1307000,20.5,267935,Average,Active,No,3,27,71,7,No
EMP10079,Rupal Singh,Female,46,1978-08-28,M.Sc,Customer Support,Support Team Lead,Full-Time,Hyderabad,2021-07-14,5,EMP10182,587000,11.2,65744,Average,Active,No,30,0,10,5,No
EMP10080,Aakash Sharma,Male,27,1997-10-23,BBA,Sales,Regional Sales Head,Part-Time,Kolkata,2019-01-22,1,EMP10058,1060000,11.2,118720,Poor,Active,No,4,26,19,2,No
EMP10081,Pallavi Patel,Female,34,1990-02-08,MBA,Engineering,QA Engineer,Full-Time,Noida,2023-08-05,10,EMP10185,675000,16.9,114075,Good,Active,No,14,16,5,7,No
EMP10082,Deepak Bose,Male,26,1998-12-15,MCA,Sales,Senior Sales Executive,Contract,Noida,2017-09-06,3,EMP10119,1284000,23.1,296604,Good,Active,No,24,6,36,7,No
EMP10083,Nisha Joshi,Female,28,1996-07-22,MBA,Legal,Legal Counsel,Part-Time,Bangalore,2019-03-01,5,EMP10070,615000,19.2,118080,Average,Active,No,14,16,115,9,Yes
EMP10084,Riya Reddy,Female,31,1993-08-11,B.Tech,Engineering,Software Engineer,Full-Time,Delhi,2015-08-07,7,EMP10082,1453000,12.5,181625,Good,Active,No,29,1,12,6,Yes
EMP10085,Nisha Mishra,Female,49,1975-03-28,B.Sc,Sales,Regional Sales Head,Full-Time,Noida,2015-11-21,1,EMP10109,837000,9.3,77841,Excellent,On Leave,No,3,27,99,5,Yes
EMP10086,Tushar Bose,Male,45,1979-12-22,B.Com,Engineering,Software Engineer,Full-Time,Hyderabad,2024-05-20,16,EMP10110,1651000,15.7,259207,Average,Active,No,0,30,78,6,Yes
EMP10087,Pallavi Reddy,Female,26,1998-08-06,B.Com,Sales,Sales Executive,Full-Time,Pune,2021-02-06,1,EMP10192,1119000,22.5,251775,Excellent,Active,No,0,30,45,2,No
EMP10088,Pranav Nair,Male,48,1976-12-27,MCA,Operations,Operations Manager,Full-Time,Kolkata,2018-12-14,18,EMP10162,635000,21.3,135255,Good,Resigned,Yes,5,25,103,3,Yes
EMP10089,Suresh Patel,Male,48,1976-11-17,BBA,Customer Support,Senior Support Analyst,Full-Time,Mumbai,2018-07-16,10,EMP10074,760000,13.0,98800,Below Average,Active,No,11,19,110,1,No
EMP10090,Ankit Bose,Male,34,1990-03-17,BCA,IT,IT Manager,Full-Time,Bangalore,2017-02-04,8,EMP10021,1363000,12.3,167649,Average,Active,No,13,17,77,3,No
EMP10091,Meera Bose,Female,30,1994-02-11,BCA,Engineering,DevOps Engineer,Full-Time,Noida,2016-11-13,8,EMP10071,1137000,13.9,158043,Average,Terminated,Yes,20,10,101,1,Yes
EMP10092,Nikhil Shah,Male,30,1994-08-28,B.Tech,Finance,Senior Financial Analyst,Full-Time,Noida,2015-05-23,3,EMP10155,491000,9.7,47627,Average,Active,No,4,26,86,8,No
EMP10093,Pallavi Reddy,Female,35,1989-02-06,BCA,IT,IT Manager,Full-Time,Jaipur,2022-04-14,5,EMP10144,843000,24.2,204006,Excellent,Active,No,3,27,33,5,No
EMP10094,Shruti Gupta,Female,43,1981-02-01,M.Com,Operations,Operations Analyst,Part-Time,Pune,2015-10-31,15,EMP10182,461000,23.0,106030,Good,Active,No,2,28,70,9,No
EMP10095,Pooja Reddy,Female,39,1985-01-21,M.Com,Customer Support,Support Director,Full-Time,Noida,2016-05-12,7,EMP10120,366000,9.7,35502,Good,Active,No,25,5,70,3,Yes
EMP10096,Shruti Chopra,Female,31,1993-05-14,M.Com,HR,HR Business Partner,Full-Time,Jaipur,2024-03-26,2,EMP10033,411000,24.4,100284,Average,Active,No,28,2,106,9,Yes
EMP10097,Vivek Verma,Male,43,1981-11-12,B.Com,Engineering,DevOps Engineer,Full-Time,Jaipur,2018-05-30,6,EMP10021,740000,11.5,85100,Average,Active,No,8,22,25,9,No
EMP10098,Aakash Kumar,Male,43,1981-12-01,M.Tech,Sales,Business Development Rep,Full-Time,Mumbai,2016-12-02,20,EMP10012,1569000,11.8,185142,Below Average,Active,No,30,0,82,10,No
EMP10099,Aarav Mishra,Male,37,1987-12-29,M.Tech,IT,Cybersecurity Analyst,Full-Time,Kolkata,2022-03-14,5,EMP10177,1333000,9.9,131967,Below Average,Active,No,1,29,20,8,No
EMP10100,Ananya Nair,Female,32,1992-11-19,MCA,Sales,Sales Manager,Contract,Chennai,2016-06-19,6,EMP10064,1380000,16.2,223560,Good,Active,No,4,26,12,1,No
EMP10101,Nikhil Nair,Male,35,1989-01-10,MCA,Customer Support,Support Director,Contract,Chennai,2017-02-16,13,EMP10006,387000,15.0,58050,Average,Active,No,2,28,120,7,No
EMP10102,Vivek Iyer,Male,28,1996-02-10,BCA,Sales,Regional Sales Head,Full-Time,Pune,2018-03-16,5,EMP10094,317000,21.9,69423,Good,Terminated,Yes,1,29,51,1,Yes
EMP10103,Vikas Bhatt,Male,44,1980-04-30,MBA,Sales,Sales Manager,Full-Time,Pune,2016-06-11,4,EMP10051,1126000,12.5,140750,Poor,Active,No,19,11,65,7,Yes
EMP10104,Mohit Chopra,Male,43,1981-09-06,B.Com,Engineering,Engineering Manager,Full-Time,Noida,2021-10-19,17,EMP10152,693000,11.6,80388,Average,Active,No,10,20,64,9,No
EMP10105,Sonal Nair,Female,31,1993-09-07,M.Sc,Sales,Sales Executive,Full-Time,Noida,2021-07-18,5,EMP10059,1743000,17.6,306768,Average,Active,No,23,7,6,10,No
EMP10106,Neha Singh,Female,48,1976-06-01,BCA,Operations,Operations Manager,Full-Time,Delhi,2021-06-03,4,EMP10129,480000,5.4,25920,Good,Active,No,24,6,78,8,Yes
EMP10107,Shruti Chopra,Female,35,1989-01-27,M.Sc,Marketing,Brand Manager,Full-Time,Chennai,2016-12-10,8,EMP10124,1018000,15.9,161862,Average,Resigned,Yes,6,24,31,5,No
EMP10108,Deepak Gupta,Male,35,1989-03-22,M.Sc,R&D,R&D Manager,Contract,Bangalore,2020-05-19,6,EMP10174,1625000,23.7,385125,Average,Active,No,17,13,48,7,No
EMP10109,Deepak Sharma,Male,30,1994-11-04,B.Com,IT,Network Engineer,Full-Time,Jaipur,2022-05-10,5,EMP10036,1325000,9.3,123225,Below Average,Active,No,3,27,78,10,Yes
EMP10110,Rajesh Patel,Male,31,1993-07-16,BCA,Operations,Operations Analyst,Full-Time,Hyderabad,2018-09-14,8,EMP10168,385000,18.6,71610,Excellent,On Leave,No,29,1,112,8,No
EMP10111,Deepak Patel,Male,24,2000-10-02,BCA,IT,IT Support Analyst,Full-Time,Mumbai,2017-08-09,1,EMP10127,687000,13.4,92058,Below Average,On Leave,No,5,25,119,5,Yes
EMP10112,Manish Iyer,Male,25,1999-05-16,M.Com,Marketing,Brand Manager,Full-Time,Bangalore,2020-11-17,2,EMP10042,581000,22.0,127820,Good,Active,No,23,7,58,5,Yes
EMP10113,Suresh Kumar,Male,31,1993-03-10,MCA,HR,Payroll Specialist,Full-Time,Hyderabad,2024-04-10,7,EMP10083,820000,11.6,95120,Good,Active,No,29,1,31,1,No
EMP10114,Manish Iyer,Male,24,2000-09-12,MBA,Finance,CFO,Full-Time,Chennai,2015-02-16,2,EMP10104,1104000,18.9,208656,Excellent,Active,No,21,9,64,5,Yes
EMP10115,Rajesh Mehta,Male,28,1996-06-13,BBA,Customer Support,Senior Support Analyst,Full-Time,Jaipur,2016-09-19,4,EMP10196,855000,12.5,106875,Average,Terminated,Yes,7,23,87,10,Yes
EMP10116,Pranav Verma,Male,25,1999-07-26,M.Sc,Marketing,Marketing Executive,Part-Time,Delhi,2020-09-01,1,EMP10126,614000,8.3,50962,Below Average,Active,No,2,28,115,9,No
EMP10117,Vikas Rao,Male,24,2000-01-25,M.Tech,Finance,Financial Analyst,Contract,Noida,2020-03-08,2,EMP10012,396000,12.9,51084,Below Average,Active,No,13,17,44,2,Yes
EMP10118,Sneha Iyer,Female,41,1983-01-27,BCA,Engineering,Engineering Manager,Full-Time,Pune,2023-08-16,5,EMP10115,2006000,17.8,357068,Average,On Leave,No,27,3,117,7,No
EMP10119,Nisha Reddy,Female,42,1983-01-03,B.Com,R&D,Research Analyst,Full-Time,Mumbai,2021-01-09,13,EMP10119,1559000,7.5,116925,Poor,Resigned,Yes,21,9,92,9,No
EMP10120,Rahul Singh,Male,41,1983-06-16,BBA,Legal,Compliance Officer,Full-Time,Mumbai,2023-02-17,4,EMP10053,468000,21.2,99216,Good,Resigned,Yes,2,28,12,10,Yes
EMP10121,Swati Patel,Female,30,1994-09-09,BBA,Operations,Logistics Coordinator,Full-Time,Chennai,2017-08-17,4,EMP10188,1071000,22.3,238833,Excellent,Active,No,18,12,40,10,No
EMP10122,Pallavi Mehta,Non-Binary,36,1988-06-24,B.Sc,Customer Support,Customer Success Manager,Full-Time,Ahmedabad,2018-02-01,1,EMP10127,804000,24.0,192960,Below Average,Terminated,Yes,1,29,44,7,No
EMP10123,Nikhil Bhatt,Male,39,1985-10-23,B.Sc,Finance,Accountant,Full-Time,Ahmedabad,2017-07-12,10,EMP10136,653000,21.1,137783,Below Average,Active,No,4,26,49,4,No
EMP10124,Sonal Sharma,Female,41,1983-07-18,M.Sc,Operations,Operations Director,Full-Time,Delhi,2015-07-31,9,EMP10186,675000,18.5,124875,Average,Terminated,Yes,21,9,71,4,No
EMP10125,Aarav Gupta,Male,44,1980-04-06,B.Sc,Customer Support,Senior Support Analyst,Full-Time,Delhi,2023-05-18,16,EMP10083,474000,18.9,89586,Average,Active,No,24,6,36,7,No
EMP10126,Aakash Mishra,Male,45,1979-06-04,B.Tech,HR,HR Business Partner,Full-Time,Ahmedabad,2024-01-02,16,EMP10145,1079000,21.8,235222,Below Average,Active,No,27,3,28,3,Yes
EMP10127,Aisha Iyer,Female,41,1983-10-20,B.Com,Customer Support,Senior Support Analyst,Full-Time,Pune,2018-09-13,8,EMP10196,618000,16.4,101352,Good,Active,No,26,4,62,8,No
EMP10128,Harsh Mishra,Male,25,1999-04-27,B.Tech,IT,Systems Administrator,Full-Time,Mumbai,2022-03-13,1,EMP10106,1419000,5.7,80883,Below Average,On Leave,No,4,26,107,4,Yes
EMP10129,Rahul Patel,Male,28,1996-09-03,B.Com,Engineering,DevOps Engineer,Part-Time,Jaipur,2022-05-24,4,EMP10138,433000,5.1,22083,Average,Active,No,9,21,2,9,No
EMP10130,Karan Chopra,Male,39,1985-10-23,BCA,Customer Support,Senior Support Analyst,Full-Time,Pune,2017-02-25,17,EMP10118,485000,21.3,103305,Good,Active,No,18,12,31,4,No
EMP10131,Sneha Sharma,Female,33,1992-01-05,BCA,Legal,Legal Manager,Part-Time,Kolkata,2019-03-25,9,EMP10166,1398000,6.1,85278,Excellent,Active,No,25,5,42,10,Yes
EMP10132,Pranav Mishra,Male,47,1977-02-01,B.Tech,Customer Support,Support Team Lead,Full-Time,Pune,2015-11-01,9,EMP10054,789000,16.3,128607,Excellent,Terminated,Yes,18,12,18,7,Yes
EMP10133,Neha Bhatt,Female,32,1992-03-20,BBA,Marketing,Marketing Manager,Contract,Ahmedabad,2023-06-22,3,EMP10020,464000,15.0,69600,Poor,Active,No,10,20,77,10,No
EMP10134,Riya Mishra,Female,34,1990-12-17,B.Com,Sales,Senior Sales Executive,Full-Time,Noida,2021-03-15,7,EMP10064,1206000,8.7,104922,Average,Active,No,22,8,9,2,No
EMP10135,Neha Nair,Female,45,1979-10-12,MBA,IT,Network Engineer,Full-Time,Bangalore,2016-01-10,1,EMP10111,966000,13.9,134274,Average,Active,No,14,16,71,9,No
